,1,2,3,4,5
1297,0,0,0,0,1
7100,0,0,0,0,1
9571,0,0,0,0,1
9666,0,0,0,0,1
6399,0,0,0,0,1
10450,0,0,0,0,1
6069,0,0,0,0,1
3024,0,0,0,0,1
6810,0,0,0,1,0
381,1,0,0,0,0
8576,0,0,0,1,0
1155,0,0,0,0,1
6153,0,0,0,0,1
3684,0,0,0,0,1
1728,0,0,0,0,1
5156,1,0,0,0,0
1253,0,0,0,0,1
4123,0,0,0,0,1
8289,0,0,0,0,1
6754,0,0,0,1,0
6886,0,0,0,0,1
10299,0,0,0,0,1
3529,0,0,0,0,1
8256,0,0,0,0,1
2191,0,0,0,0,1
8979,0,1,0,0,0
11090,0,0,0,0,1
3264,0,0,0,0,1
8475,0,0,0,0,1
7985,0,0,0,0,1
11292,0,0,0,1,0
7675,0,0,0,0,1
530,0,0,0,0,1
5572,0,0,1,0,0
9211,0,0,0,1,0
11413,0,0,0,0,1
5382,0,0,0,0,1
8400,0,0,0,0,1
2777,0,0,0,1,0
11268,0,0,1,0,0
9004,0,1,0,0,0
10602,0,0,1,0,0
6794,1,0,0,0,0
144,1,0,0,0,0
8324,0,0,0,0,1
4459,0,0,0,0,1
9288,0,1,0,0,0
5378,1,0,0,0,0
5524,0,1,0,0,0
4394,1,0,0,0,0
9936,1,0,0,0,0
4984,0,0,1,0,0
3231,0,1,0,0,0
7692,0,0,0,0,1
9423,0,0,0,0,1
788,0,0,0,0,1
3372,0,0,0,1,0
2531,0,0,0,0,1
10762,0,0,0,0,1
5061,0,0,0,1,0
2030,0,0,0,0,1
4829,1,0,0,0,0
9090,0,0,1,0,0
10242,0,0,0,0,1
4295,1,0,0,0,0
431,0,0,1,0,0
7044,0,0,0,0,1
1780,0,0,0,0,1
6392,0,0,1,0,0
3207,0,0,0,0,1
10393,0,0,0,0,1
349,0,0,0,0,1
5821,0,0,1,0,0
7223,0,0,0,0,1
8061,0,1,0,0,0
8596,0,0,1,0,0
981,0,0,0,1,0
2312,0,0,0,0,1
4959,0,0,0,0,1
6050,0,0,0,0,1
8201,0,0,0,1,0
6417,1,0,0,0,0
5582,0,0,0,0,1
3323,1,0,0,0,0
5773,0,0,0,0,1
9570,0,0,0,0,1
8161,0,0,0,0,1
916,0,0,0,0,1
6113,0,0,0,0,1
7903,0,0,0,0,1
1616,0,0,0,0,1
5013,0,0,0,1,0
2442,0,0,0,0,1
9870,1,0,0,0,0
7225,0,1,0,0,0
1833,0,0,0,0,1
8798,0,0,0,0,1
8439,0,0,0,0,1
4217,0,0,0,0,1
8416,0,0,0,0,1
782,1,0,0,0,0
10548,0,0,0,0,1
1156,0,0,0,0,1
1536,0,0,0,0,1
3705,1,0,0,0,0
5053,0,0,0,0,1
2676,0,0,0,0,1
7681,0,0,0,0,1
6702,0,0,0,0,1
8156,0,0,0,0,1
2401,0,0,0,1,0
5799,0,0,0,0,1
11537,0,0,0,0,1
3194,0,0,0,0,1
4580,1,0,0,0,0
2152,0,0,0,0,1
9744,0,1,0,0,0
11357,0,0,0,0,1
9417,0,0,0,1,0
8585,0,0,1,0,0
3210,0,0,0,0,1
9849,1,0,0,0,0
5802,0,0,0,0,1
4464,0,0,0,0,1
8295,0,0,0,0,1
6051,0,0,0,0,1
3425,0,0,0,0,1
7712,0,0,0,1,0
8641,0,0,0,0,1
3578,1,0,0,0,0
5677,0,0,0,0,1
3772,0,0,0,0,1
1731,0,0,0,0,1
10730,1,0,0,0,0
7647,0,0,0,1,0
5733,0,0,0,0,1
2963,0,0,0,0,1
1870,0,0,0,0,1
5302,0,1,0,0,0
2211,0,0,0,0,1
9836,0,0,0,0,1
5044,0,0,0,0,1
7664,0,0,0,0,1
5130,0,0,0,0,1
8767,0,0,0,0,1
