,Disposable,Faceshield,Reusable
1297,0,1,0
7100,0,0,1
9571,0,0,1
9666,0,0,1
6399,1,0,0
10450,0,0,1
6069,1,0,0
3024,1,0,0
6810,1,0,0
381,0,1,0
8576,0,0,1
1155,0,1,0
6153,1,0,0
3684,1,0,0
1728,0,1,0
5156,1,0,0
1253,0,1,0
4123,1,0,0
8289,0,0,1
6754,1,0,0
6886,1,0,0
10299,0,0,1
3529,1,0,0
8256,0,0,1
2191,0,1,0
8979,0,0,1
11090,0,0,1
3264,1,0,0
8475,0,0,1
7985,0,0,1
11292,0,0,1
7675,0,0,1
530,0,1,0
5572,1,0,0
9211,0,0,1
11413,0,0,1
5382,1,0,0
8400,0,0,1
2777,1,0,0
11268,0,0,1
9004,0,0,1
10602,0,0,1
6794,1,0,0
144,0,1,0
8324,0,0,1
4459,1,0,0
9288,0,0,1
5378,1,0,0
5524,1,0,0
4394,1,0,0
9936,0,0,1
4984,1,0,0
3231,1,0,0
7692,0,0,1
9423,0,0,1
788,0,1,0
3372,1,0,0
2531,0,1,0
10762,0,0,1
5061,1,0,0
2030,0,1,0
4829,1,0,0
9090,0,0,1
10242,0,0,1
4295,1,0,0
431,0,1,0
7044,0,0,1
1780,0,1,0
6392,1,0,0
3207,1,0,0
10393,0,0,1
349,0,1,0
5821,1,0,0
7223,0,0,1
8061,0,0,1
8596,0,0,1
981,0,1,0
2312,0,1,0
4959,1,0,0
6050,1,0,0
8201,0,0,1
6417,1,0,0
5582,1,0,0
3323,1,0,0
5773,1,0,0
9570,0,0,1
8161,0,0,1
916,0,1,0
6113,1,0,0
7903,0,0,1
1616,0,1,0
5013,1,0,0
2442,0,1,0
9870,0,0,1
7225,0,0,1
1833,0,1,0
8798,0,0,1
8439,0,0,1
4217,1,0,0
8416,0,0,1
782,0,1,0
10548,0,0,1
1156,0,1,0
1536,0,1,0
3705,1,0,0
5053,1,0,0
2676,1,0,0
7681,0,0,1
6702,1,0,0
8156,0,0,1
2401,0,1,0
5799,1,0,0
11537,0,0,1
3194,1,0,0
4580,1,0,0
2152,0,1,0
9744,0,0,1
11357,0,0,1
9417,0,0,1
8585,0,0,1
3210,1,0,0
9849,0,0,1
5802,1,0,0
4464,1,0,0
8295,0,0,1
6051,1,0,0
3425,1,0,0
7712,0,0,1
8641,0,0,1
3578,1,0,0
5677,1,0,0
3772,1,0,0
1731,0,1,0
10730,0,0,1
7647,0,0,1
5733,1,0,0
2963,1,0,0
1870,0,1,0
5302,1,0,0
2211,0,1,0
9836,0,0,1
5044,1,0,0
7664,0,0,1
5130,1,0,0
8767,0,0,1
6992,0,0,1
6663,1,0,0
2107,0,1,0
6449,1,0,0
8852,0,0,1
3101,1,0,0
10102,0,0,1
567,0,1,0
8687,0,0,1
2367,0,1,0
10370,0,0,1
10138,0,0,1
4845,1,0,0
440,0,1,0
2018,0,1,0
9837,0,0,1
9641,0,0,1
4450,1,0,0
3870,1,0,0
8775,0,0,1
4127,1,0,0
4421,1,0,0
1224,0,1,0
5399,1,0,0
10546,0,0,1
11014,0,0,1
36,0,1,0
4113,1,0,0
3349,1,0,0
2249,0,1,0
3254,1,0,0
5284,1,0,0
6307,1,0,0
3035,1,0,0
8713,0,0,1
7261,0,0,1
3295,1,0,0
11556,0,0,1
3021,1,0,0
1360,0,1,0
5325,1,0,0
10028,0,0,1
486,0,1,0
4541,1,0,0
5135,1,0,0
3643,1,0,0
4281,1,0,0
4962,1,0,0
8994,0,0,1
637,0,1,0
9176,0,0,1
6832,1,0,0
5128,1,0,0
3013,1,0,0
7379,0,0,1
4975,1,0,0
11634,0,0,1
3148,1,0,0
4842,1,0,0
11497,0,0,1
167,0,1,0
1915,0,1,0
9597,0,0,1
6387,1,0,0
10165,0,0,1
7302,0,0,1
9603,0,0,1
10044,0,0,1
801,0,1,0
2138,0,1,0
6727,1,0,0
4395,1,0,0
742,0,1,0
5923,1,0,0
6062,1,0,0
3782,1,0,0
3038,1,0,0
10914,0,0,1
9308,0,0,1
3274,1,0,0
5210,1,0,0
2478,0,1,0
715,0,1,0
8380,0,0,1
8861,0,0,1
5961,1,0,0
11171,0,0,1
11197,0,0,1
4474,1,0,0
2089,0,1,0
3111,1,0,0
8499,0,0,1
8181,0,0,1
5174,1,0,0
1834,0,1,0
6673,1,0,0
5872,1,0,0
8513,0,0,1
7334,0,0,1
6440,1,0,0
8479,0,0,1
3617,1,0,0
2485,0,1,0
6632,1,0,0
11519,0,0,1
5279,1,0,0
1886,0,1,0
23,0,1,0
11358,0,0,1
10932,0,0,1
1309,0,1,0
5493,1,0,0
789,0,1,0
2820,1,0,0
7645,0,0,1
9296,0,0,1
8388,0,0,1
2514,0,1,0
7677,0,0,1
7717,0,0,1
8211,0,0,1
7871,0,0,1
7497,0,0,1
6330,1,0,0
1957,0,1,0
11142,0,0,1
4899,1,0,0
6482,1,0,0
2732,1,0,0
8965,0,0,1
3721,1,0,0
10077,0,0,1
6860,1,0,0
5199,1,0,0
11596,0,0,1
9217,0,0,1
6435,1,0,0
6187,1,0,0
3344,1,0,0
6649,1,0,0
10983,0,0,1
1226,0,1,0
10467,0,0,1
3649,1,0,0
4740,1,0,0
4074,1,0,0
5304,1,0,0
3949,1,0,0
10080,0,0,1
1310,0,1,0
10839,0,0,1
5709,1,0,0
4489,1,0,0
6695,1,0,0
4162,1,0,0
3316,1,0,0
3647,1,0,0
8146,0,0,1
6952,0,0,1
1315,0,1,0
6379,1,0,0
3544,1,0,0
2315,0,1,0
4046,1,0,0
2595,1,0,0
9294,0,0,1
1339,0,1,0
8526,0,0,1
738,0,1,0
965,0,1,0
252,0,1,0
5034,1,0,0
2098,0,1,0
872,0,1,0
9748,0,0,1
11101,0,0,1
4245,1,0,0
9509,0,0,1
10990,0,0,1
8671,0,0,1
3745,1,0,0
5523,1,0,0
11584,0,0,1
4902,1,0,0
9272,0,0,1
3299,1,0,0
9188,0,0,1
10078,0,0,1
6384,1,0,0
7068,0,0,1
6923,1,0,0
4401,1,0,0
7940,0,0,1
6041,1,0,0
3585,1,0,0
11439,0,0,1
447,0,1,0
8748,0,0,1
56,0,1,0
4671,1,0,0
5687,1,0,0
476,0,1,0
3519,1,0,0
6292,1,0,0
4004,1,0,0
11646,0,0,1
5344,1,0,0
3470,1,0,0
10824,0,0,1
7850,0,0,1
750,0,1,0
5360,1,0,0
9345,0,0,1
376,0,1,0
2458,0,1,0
5711,1,0,0
8550,0,0,1
6286,1,0,0
4696,1,0,0
7750,0,0,1
3785,1,0,0
11651,0,0,1
2771,1,0,0
8971,0,0,1
3499,1,0,0
2400,0,1,0
4513,1,0,0
6700,1,0,0
5960,1,0,0
4610,1,0,0
8603,0,0,1
11118,0,0,1
7303,0,0,1
11611,0,0,1
5385,1,0,0
11005,0,0,1
4216,1,0,0
227,0,1,0
5219,1,0,0
2317,0,1,0
2876,1,0,0
6348,1,0,0
10499,0,0,1
2648,1,0,0
1508,0,1,0
11509,0,0,1
10897,0,0,1
1684,0,1,0
499,0,1,0
8757,0,0,1
4089,1,0,0
1877,0,1,0
3694,1,0,0
513,0,1,0
11359,0,0,1
4518,1,0,0
10825,0,0,1
7515,0,0,1
7824,0,0,1
10759,0,0,1
9232,0,0,1
474,0,1,0
5419,1,0,0
4867,1,0,0
2955,1,0,0
10148,0,0,1
11574,0,0,1
6950,0,0,1
480,0,1,0
10411,0,0,1
10894,0,0,1
2577,0,1,0
10662,0,0,1
5195,1,0,0
10533,0,0,1
9962,0,0,1
5032,1,0,0
5532,1,0,0
7211,0,0,1
8001,0,0,1
1349,0,1,0
7579,0,0,1
4387,1,0,0
10368,0,0,1
9280,0,0,1
7930,0,0,1
4872,1,0,0
1606,0,1,0
10264,0,0,1
2762,1,0,0
2791,1,0,0
2802,1,0,0
1659,0,1,0
1446,0,1,0
10646,0,0,1
1020,0,1,0
705,0,1,0
3692,1,0,0
1866,0,1,0
10398,0,0,1
7360,0,0,1
3080,1,0,0
2122,0,1,0
2574,0,1,0
10065,0,0,1
